Skill Name,File Name,Category,Date Created,Last Updated,Version,Status,Source Location,Description,Claude Share Link,Notes
asana-organizer,asana-organizer-skill.md,Project Management,2026-04-14,2026-04-14,v1,Installed - Active,~/.claude/skills/asana-organizer,"Asana project organizer. Fetches tasks, rewrites for stakeholder communication, proposes reorganized structure, and applies changes back to Asana.",https://claude.ai/skills/asana-organizer,Requires Asana PAT
atlas-gtm-agent-os,atlas-gtm-agent-os-skill.md,GTM & Sales,2026-04-14,2026-04-14,v1,Installed - Active,~/.claude/skills/atlas-gtm-agent-os,"Full GTM agent OS for Atlas HXM — orchestrates prospecting, outreach, CRM hygiene, and pipeline workflows.",https://claude.ai/skills/atlas-gtm-agent-os,Core Atlas GTM skill
atlas-proposal-builder-v2,atlas-proposal-builder-v2-skill.md,Rostr & Artispreneur,2026-04-15,2026-04-27,v2,Installed - Active,~/.claude/skills/atlas-proposal-builder-v2,Builds structured sales proposals for Atlas HXM. Takes company context and generates tailored EOR proposals.,https://claude.ai/skills/atlas-proposal-builder-v2,V2 improves on V1 with better formatting
context-engine,context-engine-skill.md,Project Management,2026-04-10,2026-04-10,v1,Installed - Active,~/.claude/skills/context-engine,"Persistent session memory layer. Saves/retrieves session summaries, caches progress, generates reports across conversations.",https://claude.ai/skills/context-engine,Cross-session memory
cof,cof-skill.md,GTM & Sales,2026-04-15,2026-04-15,v1,Installed - Active,~/.claude/skills/cof,COF (Cost of Failure) analysis skill for GTM. Builds business case by quantifying the cost of not solving the problem.,https://claude.ai/skills/cof,
entity-readiness-baseline-analyst,entity-readiness-baseline-analyst-skill.md,Entity Readiness,2026-07-17,2026-07-17,v1,Installed - Active,~/.claude/skills/entity-readiness-baseline-analyst,"Analyzes Atlas Entity Readiness Change Report baseline from CSV or n8n run. Reports on ready-country totals, status changes, baseline coverage.",https://claude.ai/skills/entity-readiness-baseline-analyst,Read-only validation
entity-readiness-execution-health,entity-readiness-execution-health-skill.md,Entity Readiness,2026-07-17,2026-07-17,v1,Installed - Active,~/.claude/skills/entity-readiness-execution-health,"Inspects Entity Readiness Change Report n8n workflow for execution success, errors, Onspring pull health, delivery completion, activation state.",https://claude.ai/skills/entity-readiness-execution-health,Post-run validation
gtm-engineering,gtm-engineering-skill.md,GTM & Sales,2026-04-03,2026-04-03,v1,Installed - Active,~/.claude/skills/gtm-engineering,"Build GTM automation with code — workflow architectures, AI agents for GTM, n8n/Make/Zapier/Clay API, instruction stacks, revenue automation.",https://claude.ai/skills/gtm-engineering,Technical GTM infra
hubspot-chatbot-manager,hubspot-chatbot-manager-skill.md,HubSpot & CRM,2026-04-12,2026-04-12,v1,Installed - Active,~/.claude/skills/hubspot-chatbot-manager,"Manages HubSpot chatbot workflows, flow logic, and deployment. Use for building/debugging HubSpot chat flows.",https://claude.ai/skills/hubspot-chatbot-manager,
marketing-chatbot-execution-analyst,marketing-chatbot-execution-analyst-skill.md,MAIA & Chatbots,2026-07-15,2026-07-15,v1,Installed - Active,~/.claude/skills/marketing-chatbot-execution-analyst,"Analyzes marketing chatbot execution data — pipeline health, message performance, handoff rates, conversion metrics.",https://claude.ai/skills/marketing-chatbot-execution-analyst,Has full test suite + dashboard
maia-chatbot-analyst,maia-chatbot-analyst-skill.md,MAIA & Chatbots,2026-07-15,2026-07-15,v1,Installed - Active,~/.claude/skills/maia-chatbot-analyst,"Analyzes MAIA chatbot performance — conversation data, engagement patterns, resolution rates, and improvement opportunities.",https://claude.ai/skills/maia-chatbot-analyst,
maia-chatbot-marketer,maia-chatbot-marketer-skill.md,MAIA & Chatbots,2026-04-15,2026-04-15,v1,Installed - Active,~/.claude/skills/maia-chatbot-marketer,"MAIA-focused marketing chatbot skill. Generates content, campaigns, and messaging for MAIA chatbot flows.",https://claude.ai/skills/maia-chatbot-marketer,
n8n-execution-analyst,n8n-execution-analyst-skill.md,n8n & Automation,2026-07-15,2026-07-15,v1,Installed - Active,~/.claude/skills/n8n-execution-analyst,"Inspects n8n workflow execution logs. Diagnoses failures, maps node success/error chains, recommends fixes.",https://claude.ai/skills/n8n-execution-analyst,
partner-pql-manager,partner-pql-manager-skill.md,HubSpot & CRM,2026-04-27,2026-04-27,v1,Installed - Active,~/.claude/skills/partner-pql-manager,"Manages partner PQLs (Product Qualified Leads) — scoring, routing, and follow-up workflows for Atlas partner channel.",https://claude.ai/skills/partner-pql-manager,
pop,pop-skill.md,GTM & Sales,2026-06-16,2026-06-16,v1,Installed - Active,~/.claude/skills/pop,POP (Problem-Opportunity-Proof) framework skill. Builds structured GTM messaging using the POP storytelling method.,https://claude.ai/skills/pop,
rfp-answer-retriever,rfp-answer-retriever-skill.md,RFP Suite,2026-04-15,2026-04-15,v2,Installed - Active,~/.claude/skills/rfp-answer-retriever,"Semantic search against RFP knowledge base. Returns HIGH/MEDIUM/NO MATCH confidence, batch RFP processing, auto-creates HubSpot tickets for gaps.",https://claude.ai/skills/rfp-answer-retriever,Phase 2 of RFP Suite
rfp-kb-builder,rfp-kb-builder-skill.zip,RFP Suite,2026-04-01,2026-04-15,v3,File - Active,~/Downloads/Skills,"Parses RFP files and HubSpot tickets into atomic Q/A pairs. Classifies, routes to owner, flags conflicts, exports Excel workbook.",https://claude.ai/skills/rfp-kb-builder,V3 in iCloud; original Phase 1
rfp-response-builder,rfp-response-builder-skill.zip,RFP Suite,2026-04-01,2026-04-01,v1,File - Archive,~/Downloads/Skills,Builds full RFP response document from knowledge base answers. Draft generation pipeline.,https://claude.ai/skills/rfp-response-builder,Earlier version of rfp-answer-retriever
