Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Use an Entrepreneurial Mindset to Find Success and Fulfillment at Work,"So often, our measure of success comes from someone or somewhere else. Entrepreneurial thinking can help you define success on your own terms. In this course, organizational psychologist Erin Shrimpton shows how to adopt a mindset to find success <i>and</i> fulfillment at work. As Erin explains, entrepreneurial thinking isn’t just for startups. Taking calculated risks, seeing opportunity in adversity, and acting decisively in a crisis are all routes to success for any employee.  She shows the way entrepreneurs think, act, and thrive, and how to harness these skills to find success and fulfillment in what you do.",Course,2026-04-08 04:06 UTC,N/A,false,N/A,
Nano Tips for Using AI for Brand Storytelling with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips on how to use AI tools for inspiration, productivity, and identifying with your audience as a storyteller. Learn about the human-AI creative balance, ethical AI storytelling pitfalls to avoid, crafting better AI prompts, and more.",Course,2025-07-09 15:37 UTC,N/A,false,N/A,
Excel: Dashboards for Beginners (2022),"<p>Did you know that you can quickly create a dashboard in Excel even if you’re pressed for time? While many people assume that dashboards are complicated and limited to the most advanced Excel power users, it’s simply not true–all you need is a little practice. In this short course, Excel MVP Jordan Goldmeier demystifies dashboards and shows you how to create your first interactive dashboard in minutes.</p><p>Explore the basic components of a dashboard in Excel: tables, PivotTables, PivotCharts, slicers, and timelines. Learn how to plan a dashboard, create a summary table, build a time series chart, and then finalize your dashboard so it's ready to share with stakeholders. Jordan gives you quick, easy-to-use tips and techniques so you can start visualizing your data immediately.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-customer-relationship-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2023-06-05 16:08 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2848246,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2848246,Course,2021-11-26 04:42 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch continues to evolve. In this course, Garrick Chow explores the features and capabilities of the latest Apple Watch OS, including Siri, the updated interface, and bundled app capabilities. Learn how to manage your Watch, including the haptic alert system, theater mode, and more. Discover ways you can communicate using your Apple Watch, as well as ways to view and work with apps. Get useful tips on using Siri, and learn about the variety of health and safety features that your Watch offers. Plus, find out how to take a screenshot, find your iPhone, force quit apps, and more.",Course,2025-03-30 05:26 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-01-14 18:49 UTC,N/A,false,N/A,
WordPress: Building a Secure Site,"Building a secure website is a required skill for anyone who develops websites. In this course, instructor Allie Nimmons walks you through how to build and launch a secure website with WordPress. Allie explains what to look for when you are shopping for a secure hosting provider for your website. She points out what practices are most important to protect your site from WordPress vulnerabilities, then goes into tools to secure WordPress user accounts and login screens. Allie covers all the basics about SSL certificates and discusses best practices for keeping WordPress plugins and themes secure. She tells you why spam comments pose a threat to WordPress sites and explains how to prevent and remove them. Allie steps through best practices for making backups, as well as tools for setting up a WordPress firewall. She concludes with steps you can take to make your ecommerce site and your WordPress files more secure.",Course,2023-06-06 01:06 UTC,N/A,true,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-10-09 15:47 UTC,N/A,false,N/A,
Human Leadership,"<p>Being a leader in today’s world comes with no shortage of complex challenges. How do you manage your team effectively in the face of so much change? Taking a more human approach to your job could do a lot to ease the pain. In this course, best-selling author Erica Keswin shares strategies used by top leaders to create a more values-driven, meaningful workplace that’s good for people and business. </p><p>Learn thoughtful, hard-won lessons on successful leadership in times of crisis, developing a strategy that works for you, your team, and your organization. Find out how to be a better communicator to create stronger human connections, build trust and rapport through empathy, and improve employee experience. Along the way, get tips on meetings, professional development, workplace well-being, and more. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/human-skills-for-managers-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2022-07-18 00:40 UTC,N/A,false,N/A,
Lightroom for Faces (2019),"Retouching faces used to be challenging without using Adobe Photoshop, but recent improvements in Lightroom—involving the Spot Removal tool, Clone Stamp tool, Adjustment Brush tool, syncing capabilities, and more—have made it much simpler to use Lightroom as a stand-alone solution. This course shows you how to save time by staying in Lightroom instead of Photoshop. Discover how to remove unwanted blemishes, make local or targeted adjustments, enhance eyes, smooth skin, and more.",Course,2021-05-19 19:02 UTC,N/A,false,N/A,
