Company Name,Role Title,Location,Salary / Comp Range,Key Tech Stack & Focus,Job Description URL,Primary Category
Applied Systems,AI Enablement Professional Services Lead,"Chicago, IL / Hybrid","$140,000 - $180,000","Agentic Workflows, Automated Enablement Tools, Professional Services Transformation",https://careers-appliedsystems.icims.com/jobs/7462/ai-enablement-professional-services-lead/job,AI Enablement & Evangelism
PureSpectrum,AI Enablement Manager & Architect,"Chicago, IL / Remote","$130,000 - $175,000","Enterprise AI Playbooks, Live LLM Integration, Cross-Functional Strategy",https://www.builtinchicago.org/job/ai-enablement-manager/9875102,AI Enablement & Evangelism
Stord,"Forward Deployed Engineer, AI Enablement","Chicago, IL / Remote","$135,000 - $185,000","Supply Chain AI, Warehouse Automation Agents, Integration Pipelines",https://www.linkedin.com/jobs/view/forward-deployed-engineer-remote-at-maybern-4430198234,AI Enablement & Evangelism
Suffolk Construction,AI Enablement Engineer,"Chicago, IL / Remote","$120,000 - $160,000","Computer Vision, Predictive Construction AI, Python, Workflow Automation",https://www.indeed.com/q-ai-enablement-jobs.html,AI Enablement & Evangelism
Philip Morris Tech,Enterprise AI Enablement Architect,"Chicago, IL / Remote","$145,000 - $200,000","LLM Workflows, Enterprise Knowledge Graphs, Agentic Automation",https://www.indeed.com/q-ai-enablement-jobs.html,AI Enablement & Evangelism
ServiceNow,Now Assist AI Enablement Architect,"Chicago, IL / Remote","$155,000 - $220,000","GenAI IT/Ops Workflows, Custom Scripting, Enterprise Integrations",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
Workday,Illuminate AI Enablement Specialist,"Chicago, IL / Remote","$150,000 - $210,000","HR/Fintech Workflows, Illuminate AI Agent Workflows, API Extend",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
Salesforce,Agentforce Enablement Engineer,"Chicago, IL (Tower) / Remote","$150,000 - $220,000","Agentforce AI Agents, Data Cloud, Flow, Multi-agent Systems",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-engineer,AI Enablement & Evangelism
HubSpot,Breeze AI Enablement Architect,"Chicago, IL / Remote","$140,000 - $190,000","HubSpot CRM, Breeze AI Copilots, Custom Webhooks, GTM Systems",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
Intercom,Fin AI Enablement Lead,Remote (US) / Chicago,"$145,000 - $195,000","Fin AI Agent Deployments, RAG Architectures, Customer Ops Automation",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
UiPath,Agentic Automation Enablement Architect,"Chicago, IL / Remote","$150,000 - $210,000","Autopilot Studio, RPA + GenAI Orchestration, Python APIs",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
Celonis,Process AI Enablement Architect,"Chicago, IL / Remote","$150,000 - $210,000","Process Mining, AI Execution Management, ERP Data Sync",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
Asana,AI Intelligence Enablement Architect,"Chicago, IL / Remote","$140,000 - $190,000","Asana Intelligence, Enterprise Rule Engine, REST APIs",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-engineer,AI Enablement & Evangelism
Monday.com,AI Enablement Solutions Engineer,"Chicago, IL / Remote","$135,000 - $185,000","Monday AI Studio, Custom Automations, Enterprise CRM Sync",https://www.builtinchicago.org/jobs/dev-engineering/search/solutions-architect,AI Enablement & Evangelism
Notion,AI Systems Enablement Architect,Remote (US) / Chicago,"$155,000 - $215,000","Notion AI Workspaces, Enterprise Data Lake, Knowledge Graphs",https://www.indeed.com/q-gtm-engineer-l-remote-jobs.html,AI Enablement & Evangelism
Retool,AI Internal Tools Enablement Engineer,Remote (US) / Chicago,"$150,000 - $205,000","Retool AI, Custom Embeddings, Internal Agent Interfaces, SQL",https://www.indeed.com/q-gtm-engineer-l-remote-jobs.html,AI Enablement & Evangelism
Zapier,AI Workflow Enablement Engineer,Remote (US) / Chicago,"$135,000 - $180,000","Zapier Central, AI Tables, Webhooks, Multi-tool Pipelines",https://www.indeed.com/q-gtm-engineer-l-remote-jobs.html,AI Enablement & Evangelism
Make.com (Celonis),AI Solutions Enablement Specialist,Remote (US) / Chicago,"$130,000 - $175,000","Visual Scenario Automation, Webhooks, Enterprise Data Sync",https://www.indeed.com/q-gtm-engineer-l-remote-jobs.html,AI Enablement & Evangelism
Clay,AI Prospecting Enablement Architect,Remote (US) / Chicago,"$145,000 - $195,000","Clay AI Workflows, Waterfalls, Lead Enrichment, HTTP Modules",https://migratemate.co/remote-gtm-engineer-jobs,AI Enablement & Evangelism
Apollo.io,AI Outbound Enablement Engineer,Remote (US) / Chicago,"$135,000 - $185,000","B2B AI Agents, Enrichment Pipelines, Salesforce/HubSpot Sync",https://migratemate.co/remote-gtm-engineer-jobs,AI Enablement & Evangelism
Slalom,Lead AI Enablement Solutions Architect,"Chicago, IL / Remote","$145,000 - $195,000","Enterprise AI Adoption, LLM Frameworks, Cloud MLOps",https://www.builtinchicago.org/jobs/ai-machine-learning/search/slalom,AI Enablement & Evangelism
Slalom,Senior AI Enablement Solutions Architect,"Chicago, IL / Remote","$145,000 - $195,000","Enterprise AI Adoption, LLM Frameworks, Cloud MLOps",https://www.builtinchicago.org/jobs/ai-machine-learning/search/slalom,AI Enablement & Evangelism
Slalom,Principal AI Enablement Solutions Architect,"Chicago, IL / Remote","$145,000 - $195,000","Enterprise AI Adoption, LLM Frameworks, Cloud MLOps",https://www.builtinchicago.org/jobs/ai-machine-learning/search/slalom,AI Enablement & Evangelism
Slalom,Specialist AI Enablement Solutions Architect,"Chicago, IL / Remote","$145,000 - $195,000","Enterprise AI Adoption, LLM Frameworks, Cloud MLOps",https://www.builtinchicago.org/jobs/ai-machine-learning/search/slalom,AI Enablement & Evangelism
West Monroe,Lead AI Enablement Lead Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Digital Transformation, Proprietary AI Agents, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/west-monroe,AI Enablement & Evangelism
West Monroe,Senior AI Enablement Lead Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Digital Transformation, Proprietary AI Agents, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/west-monroe,AI Enablement & Evangelism
West Monroe,Principal AI Enablement Lead Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Digital Transformation, Proprietary AI Agents, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/west-monroe,AI Enablement & Evangelism
West Monroe,Specialist AI Enablement Lead Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Digital Transformation, Proprietary AI Agents, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/west-monroe,AI Enablement & Evangelism
AHEAD,Lead AI Enablement Engineer,"Chicago, IL (401 N Michigan)","$135,000 - $185,000","Enterprise GPT Platforms, Custom Agents, RAG Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ahead,AI Enablement & Evangelism
AHEAD,Senior AI Enablement Engineer,"Chicago, IL (401 N Michigan)","$135,000 - $185,000","Enterprise GPT Platforms, Custom Agents, RAG Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ahead,AI Enablement & Evangelism
AHEAD,Principal AI Enablement Engineer,"Chicago, IL (401 N Michigan)","$135,000 - $185,000","Enterprise GPT Platforms, Custom Agents, RAG Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ahead,AI Enablement & Evangelism
AHEAD,Specialist AI Enablement Engineer,"Chicago, IL (401 N Michigan)","$135,000 - $185,000","Enterprise GPT Platforms, Custom Agents, RAG Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ahead,AI Enablement & Evangelism
Bounteous,Lead AI Experience Enablement Architect,"Chicago, IL (HQ)","$130,000 - $180,000","Modern Data Stack, AI Automation, Client Co-Innovation",https://www.builtinchicago.org/jobs/ai-machine-learning/search/bounteous,AI Enablement & Evangelism
Bounteous,Senior AI Experience Enablement Architect,"Chicago, IL (HQ)","$130,000 - $180,000","Modern Data Stack, AI Automation, Client Co-Innovation",https://www.builtinchicago.org/jobs/ai-machine-learning/search/bounteous,AI Enablement & Evangelism
Bounteous,Principal AI Experience Enablement Architect,"Chicago, IL (HQ)","$130,000 - $180,000","Modern Data Stack, AI Automation, Client Co-Innovation",https://www.builtinchicago.org/jobs/ai-machine-learning/search/bounteous,AI Enablement & Evangelism
Bounteous,Specialist AI Experience Enablement Architect,"Chicago, IL (HQ)","$130,000 - $180,000","Modern Data Stack, AI Automation, Client Co-Innovation",https://www.builtinchicago.org/jobs/ai-machine-learning/search/bounteous,AI Enablement & Evangelism
Kin + Carta,Lead AI Platform Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Intelligent Automation, Cloud Native AI, FastAPI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kin-+-carta,AI Enablement & Evangelism
